bezirk,listing_count,avg_base_rent,avg_living_space,avg_rooms,avg_rent_per_sqm
Mitte,1894,1523.2924762407604,87.70984160506863,2.5720696937697993,17.53929555402481
Friedrichshain-Kreuzberg,874,1315.6865446224256,79.13649885583524,2.4167048054919906,17.079348569092495
Charlottenburg-Wilmersdorf,1250,1676.0162,104.359464,2.9428,16.121473411047603
Pankow,1142,1191.6196497373028,82.64260070052539,2.5862521891418564,14.36439260938763
Tempelhof-Schöneberg,654,1140.5238379204893,85.05681957186545,2.6623853211009174,13.9111127950263
Neukölln,513,950.6117933723197,72.48518518518519,2.328849902534113,13.256069527683481
Steglitz-Zehlendorf,645,1196.8579844961241,91.54286821705426,2.783875968992248,12.88182680215354
Treptow-Köpenick,1062,846.0966760828626,72.93656308851224,2.396892655367232,11.969029264056813
Lichtenberg,555,767.173081081081,68.18742342342341,2.4252252252252253,11.380984657205403
Reinickendorf,517,816.5023017408124,74.5617988394584,2.4361702127659575,11.047514631140377
Spandau,612,702.4019607843137,72.57557189542484,2.411111111111111,9.766914337144756
Marzahn-Hellersdorf,591,584.6413028764806,65.1419627749577,2.5253807106598987,9.036844803704383
