bezirk,listing_count,avg_base_rent,avg_living_space,avg_rooms,avg_rent_per_sqm,district_id,district_name,GESIx_2013,GESIx_2022,ESIx_2013,ESIx_2022,DI_2013,DI_2022,DII_2013,DII_2022,DIII_2013,DIII_2022
Mitte,1894,1523.2924762407604,87.70984160506863,2.5720696937697993,17.53929555402481,1,Mitte,-1.5088198,-1.0319133,-1.3085771,-0.93678898,-1.2170444,-0.8986429,-1.3181792,-0.9657079,-1.7734032,-1.1774333
Friedrichshain-Kreuzberg,874,1315.6865446224256,79.13649885583524,2.4167048054919906,17.079348569092495,2,Friedrichshain-Kreuzberg,-0.91335678,-0.40823063,-0.88332433,-0.19761552,-0.55511898,-0.16301785,-1.1562245,-0.23026672,-0.89404488,-0.81685513
Charlottenburg-Wilmersdorf,1250,1676.0162,104.359464,2.9428,16.121473411047603,4,Charlottenburg-Wilmersdorf,0.86882114,0.94790566,0.74117738,0.83007973,0.96523058,0.93731552,0.4707188,0.7146678,1.0460889,1.1423326
Pankow,1142,1191.6196497373028,82.64260070052539,2.5862521891418564,14.36439260938763,3,Pankow,0.87268221,1.1949542,1.2019987,1.3821182,1.197265,1.2439773,1.1314749,1.5066454,0.15316981,0.76098776
Tempelhof-Schöneberg,654,1140.5238379204893,85.05681957186545,2.6623853211009174,13.9111127950263,7,Tempelhof-Schöneberg,0.40271965,0.18492582,0.16336592,0.06754297,0.31599423,0.094738036,0.0005092108,0.039682612,0.83826703,0.41430613
Neukölln,513,950.6117933723197,72.48518518518519,2.328849902534113,13.256069527683481,8,Neukölln,-1.4153708,-1.6312941,-1.4814022,-1.7819841,-1.1782643,-1.7242346,-1.6917889,-1.8221813,-1.1652914,-1.2505708
Steglitz-Zehlendorf,645,1196.8579844961241,91.54286821705426,2.783875968992248,12.88182680215354,6,Steglitz-Zehlendorf,1.6453645,1.5523623,1.553916,1.4703928,1.685447,1.6501418,1.3250939,1.2761607,1.6856836,1.6455822
Treptow-Köpenick,1062,846.0966760828626,72.93656308851224,2.396892655367232,11.969029264056813,9,Treptow-Köpenick,0.96981478,0.86566222,1.0667669,0.82082963,0.89413083,0.74539196,1.1726123,0.88818234,0.69718117,0.91711223
Lichtenberg,555,767.173081081081,68.18742342342341,2.4252252252252253,11.380984657205403,11,Lichtenberg,0.072299019,-0.023899317,0.16111486,0.039579716,-0.11033992,-0.031857442,0.42248219,0.11062703,-0.10865313,-0.15106227
Reinickendorf,517,816.5023017408124,74.5617988394584,2.4361702127659575,11.047514631140377,12,Reinickendorf,-0.091231301,-0.46939251,-0.056989349,-0.50388205,-0.1658522,-0.55108762,0.055441637,-0.45171329,-0.15092219,-0.37738416
Spandau,612,702.4019607843137,72.57557189542484,2.411111111111111,9.766914337144756,5,Spandau,-0.71452999,-1.1689726,-0.71971881,-1.0973353,-0.90177584,-1.0551138,-0.49259999,-1.1287484,-0.64433748,-1.2605367
Marzahn-Hellersdorf,591,584.6413028764806,65.1419627749577,2.5253807106598987,9.036844803704383,10,Marzahn-Hellersdorf,-0.18839252,-0.01210769,-0.43832806,-0.092937075,-0.92967212,-0.24761039,0.080459893,0.062651657,0.31626168,0.15352137
